Disease,disease_encoded,symptoms_text,symptoms_clean,symptom_count
Roseola,10,"rash, swollen lymph nodes, cough, red eyes, diarrhea, abdominal pain, chills",rash swollen lymph node cough red eye diarrhea abdominal pain chill,7
Roseola,10,"high fever, swollen lymph nodes, sore throat, loss of appetite, abdominal pain, body aches, rashes, chills, feverish",high fever swollen lymph node sore throat loss appetite abdominal pain body ache rash chill feverish,9
Mumps,7,"pain while chewing or swallowing, loss of appetite, testicle pain and tenderness, fever, muscle aches, tiredness",pain chewing swallowing loss appetite testicle pain tenderness fever muscle ache tiredness,6
Scarlet Fever,12,"swollen glands, fever, nausea or vomiting, abdominal pain, headache and body aches",swollen gland fever nausea vomiting abdominal pain headache body ache,5
Norovirus Infection,8,"low-grade fever, headache, abdominal pain, body aches, general discomfort, fever",low-grade fever headache abdominal pain body ache general discomfort fever,6
Norovirus Infection,8,"diarrhea, low-grade fever, muscle aches, nausea, dehydration, chills, sweating, rashes, irritability",diarrhea low-grade fever muscle ache nausea dehydration chill sweating rash irritability,9
Norovirus Infection,8,"low-grade fever, muscle aches, headache, abdominal pain, loss of appetite, chills, rashes, fever, irritability",low-grade fever muscle ache headache abdominal pain loss appetite chill rash fever irritability,9
Roseola,10,"high fever, runny nose, swollen lymph nodes, sore throat, cough, red eyes, diarrhea, vomiting, rashes, chills, feverish",high fever runny nose swollen lymph node sore throat cough red eye diarrhea vomiting rash chill feverish,11
Thrush (Oral Candidiasis),15,"slight bleeding if spots are scraped, soreness or burning in the mouth, dry cracked skin at mouth corners, bad taste in the mouth, redness irritation and pain under dentures",slight bleeding spot scraped soreness burning mouth dry cracked skin mouth corner bad taste mouth redness irritation pain denture,5
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, bloody stools, dehydration, muscle aches, body aches, feverish, rashes, chills, joint pain",abdominal pain cramp bloody stool dehydration muscle ache body ache feverish rash chill joint pain,9
"Hand, Foot, and Mouth Disease",3,"fever, sores in mouth, rash on hands and feet, loss of appetite, irritability, sore throat, red spots, blisters, fatigue, general discomfort, mild fever",fever sore mouth rash hand foot loss appetite irritability sore throat red spot blister fatigue general discomfort mild fever,11
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, bloody stools, stomach cramps, fatigue, muscle aches, body aches, rashes, joint pain",diarrhea nausea bloody stool stomach cramp fatigue muscle ache body ache rash joint pain,9
Scarlet Fever,12,"sore throat, red lines in body folds, red rash on the body, sore and red throat with patches, difficulty swallowing, abdominal pain",sore throat red line body fold red rash body sore red throat patch difficulty swallowing abdominal pain,6
Norovirus Infection,8,"diarrhea, vomiting, stomach cramps, headache, fatigue, abdominal pain, dehydration, rashes, general discomfort, fever",diarrhea vomiting stomach cramp headache fatigue abdominal pain dehydration rash general discomfort fever,10
Roseola,10,"runny nose, rash, fatigue, sore throat, diarrhea, abdominal pain",runny nose rash fatigue sore throat diarrhea abdominal pain,6
Roseola,10,"rash, irritability, fatigue, cough, red eyes, diarrhea, feverish",rash irritability fatigue cough red eye diarrhea feverish,7
Norovirus Infection,8,"vomiting, headache, dehydration, body aches, general discomfort, fever, irritability",vomiting headache dehydration body ache general discomfort fever irritability,7
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, muscle aches, nausea, headache, fatigue, chills, body aches",vomiting stomach cramp low-grade fever muscle ache nausea headache fatigue chill body ache,9
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, nausea, bloody stools, fatigue, loss of appetite, body aches, feverish, chills",abdominal pain cramp nausea bloody stool fatigue loss appetite body ache feverish chill,8
"Hand, Foot, and Mouth Disease",3,"mouth sores, red spots, fatigue, cough, general discomfort",mouth sore red spot fatigue cough general discomfort,5
Norovirus Infection,8,"diarrhea, stomach cramps, low-grade fever, muscle aches, nausea, headache, abdominal pain, loss of appetite, dehydration, body aches, rashes, irritability",diarrhea stomach cramp low-grade fever muscle ache nausea headache abdominal pain loss appetite dehydration body ache rash irritability,12
Norovirus Infection,8,"diarrhea, low-grade fever, abdominal pain, dehydration, chills, sweating, body aches, irritability",diarrhea low-grade fever abdominal pain dehydration chill sweating body ache irritability,8
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, stomach cramps, headache, loss of appetite, muscle aches, feverish, rashes, joint pain",abdominal pain cramp diarrhea stomach cramp headache loss appetite muscle ache feverish rash joint pain,9
Norovirus Infection,8,"vomiting, low-grade fever, muscle aches, nausea, loss of appetite, dehydration, chills, sweating, rashes, fever, irritability",vomiting low-grade fever muscle ache nausea loss appetite dehydration chill sweating rash fever irritability,11
Norovirus Infection,8,"diarrhea, muscle aches, nausea, headache, fatigue, abdominal pain, loss of appetite, chills, body aches, rashes, general discomfort, irritability",diarrhea muscle ache nausea headache fatigue abdominal pain loss appetite chill body ache rash general discomfort irritability,12
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, nausea, bloody stools, stomach cramps, headache, dehydration, body aches, feverish, rashes",abdominal pain cramp diarrhea nausea bloody stool stomach cramp headache dehydration body ache feverish rash,10
Norovirus Infection,8,"vomiting, stomach cramps, low-grade fever, headache, fatigue, abdominal pain, loss of appetite, dehydration, chills, body aches",vomiting stomach cramp low-grade fever headache fatigue abdominal pain loss appetite dehydration chill body ache,10
"Hand, Foot, and Mouth Disease",3,"sores in mouth, loss of appetite, sore throat, mouth sores, blisters, fatigue, cough, mild fever, difficulty swallowing",sore mouth loss appetite sore throat mouth sore blister fatigue cough mild fever difficulty swallowing,9
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, bloody stools, fatigue, dehydration, muscle aches, general discomfort, chills",diarrhea nausea bloody stool fatigue dehydration muscle ache general discomfort chill,8
Shigellosis (Bacillary Dysentery),13,"diarrhea, nausea, loss of appetite, body aches, chills, joint pain",diarrhea nausea loss appetite body ache chill joint pain,6
Roseola,10,"runny nose, red eyes, rashes, chills, feverish",runny nose red eye rash chill feverish,5
Scarlet Fever,12,"swollen glands, fever, sore throat, red lines in body folds, red rash on the body, pale skin around lips, difficulty swallowing, tender enlarged neck glands, nausea or vomiting, abdominal pain, headache and body aches",swollen gland fever sore throat red line body fold red rash body pale skin around lip difficulty swallowing tender enlarged neck gland nausea vomiting abdominal pain headache body ache,11
Roseola,10,"runny nose, swollen lymph nodes, sore throat, cough, red eyes, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, chills, feverish",runny nose swollen lymph node sore throat cough red eye diarrhea vomiting loss appetite abdominal pain body ache chill feverish,12
Shigellosis (Bacillary Dysentery),13,"abdominal pain or cramps, diarrhea, vomiting, stomach cramps, fatigue, dehydration, loss of appetite, feverish, rashes, chills",abdominal pain cramp diarrhea vomiting stomach cramp fatigue dehydration loss appetite feverish rash chill,10
"Hand, Foot, and Mouth Disease",3,"loss of appetite, sore throat, red spots, sore muscles, headache, general discomfort, difficulty swallowing",loss appetite sore throat red spot sore muscle headache general discomfort difficulty swallowing,7
Shigellosis (Bacillary Dysentery),13,"stomach cramps, headache, muscle aches, body aches, feverish, general discomfort",stomach cramp headache muscle ache body ache feverish general discomfort,6
Roseola,10,"irritability, fatigue, sore throat, headache, cough, vomiting, abdominal pain, body aches, chills",irritability fatigue sore throat headache cough vomiting abdominal pain body ache chill,9
Shigellosis (Bacillary Dysentery),13,"diarrhea, vomiting, headache, loss of appetite, muscle aches, feverish, general discomfort, chills, joint pain",diarrhea vomiting headache loss appetite muscle ache feverish general discomfort chill joint pain,9
Roseola,10,"rash, sore throat, headache, cough, red eyes, vomiting, rashes, chills",rash sore throat headache cough red eye vomiting rash chill,8
Norovirus Infection,8,"stomach cramps, muscle aches, nausea, headache, fatigue, dehydration, sweating, rashes",stomach cramp muscle ache nausea headache fatigue dehydration sweating rash,8
Roseola,10,"fatigue, diarrhea, vomiting, loss of appetite, abdominal pain, body aches, feverish",fatigue diarrhea vomiting loss appetite abdominal pain body ache feverish,7
Norovirus Infection,8,"diarrhea, headache, chills, fever, irritability",diarrhea headache chill fever irritability,5
Norovirus Infection,8,"stomach cramps, nausea, abdominal pain, loss of appetite, dehydration, chills, sweating, body aches, fever",stomach cramp nausea abdominal pain loss appetite dehydration chill sweating body ache fever,9
Shigellosis (Bacillary Dysentery),13,"fever, nausea, vomiting, stomach cramps, dehydration, feverish, rashes, chills, joint pain",fever nausea vomiting stomach cramp dehydration feverish rash chill joint pain,9
Strep Throat,14,"sore throat, fever, red and swollen tonsils, white patches on tonsils, headache, rash, loss of appetite",sore throat fever red swollen tonsil white patch tonsil headache rash loss appetite,7
Shigellosis (Bacillary Dysentery),13,"nausea, vomiting, headache, fatigue, dehydration, loss of appetite, muscle aches, rashes, general discomfort, chills, joint pain",nausea vomiting headache fatigue dehydration loss appetite muscle ache rash general discomfort chill joint pain,11
Fifth Disease (Erythema Infectiosum),2,"fatigue, sore throat, runny or stuffy nose, mild fever, headache, swollen joints, fever, diarrhea, vomiting",fatigue sore throat runny stuffy nose mild fever headache swollen joint fever diarrhea vomiting,9
Roseola,10,"rash, fatigue, cough, diarrhea, rashes, chills",rash fatigue cough diarrhea rash chill,6
Norovirus Infection,8,"diarrhea, stomach cramps, muscle aches, nausea, abdominal pain, loss of appetite, dehydration, chills, body aches, rashes, fever, irritability",diarrhea stomach cramp muscle ache nausea abdominal pain loss appetite dehydration chill body ache rash fever irritability,12
Norovirus Infection,8,"vomiting, muscle aches, nausea, fatigue, chills, general discomfort, fever",vomiting muscle ache nausea fatigue chill general discomfort fever,7
Roseola,10,"sore throat, red eyes, diarrhea, loss of appetite, abdominal pain, chills, feverish",sore throat red eye diarrhea loss appetite abdominal pain chill feverish,7
Shigellosis (Bacillary Dysentery),13,"fever, diarrhea, stomach cramps, headache, muscle aches, feverish, rashes, joint pain",fever diarrhea stomach cramp headache muscle ache feverish rash joint pain,8
Norovirus Infection,8,"loss of appetite, chills, sweating, body aches, irritability",loss appetite chill sweating body ache irritability,5
