drug_name,drug_name_clean,medical_condition,medical_condition_clean,generic_name,drug_classes,input_text,input_text_clean,side_effects_clean,side_effects_count
aripiprazole,aripiprazole,Bipolar Disorder,bipolar disorder,aripiprazole (oral),Atypical antipsychotics,aripiprazole bipolar disorder aripiprazole (oral) atypical antipsychotics,aripiprazole bipolar disorder aripiprazole atypical antipsychotic,"blurred vision, increased saliva, drooling, muscle stiffness, uncontrolled muscle movements, shaking, anxiety, feeling restless, weight gain, nausea, vomiting, constipation, increased, decreased appetite, headache, dizziness, drowsiness, feeling tired, sleep problems, cold symptoms such as stuffy nose, sneezing, sore throat",22
Depakote ER,depakote er,Bipolar Disorder,bipolar disorder,divalproex sodium,Fatty acid derivative anticonvulsants,depakote er bipolar disorder divalproex sodium fatty acid derivative anticonvulsants,depakote er bipolar disorder divalproex sodium fatty acid derivative anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, drowsiness, constipation, fever, cough, stomach pain, swelling, bleeding, bruising, hair loss, skin rash, back pain, tremor, anxiety, depression, confusion, blurred vision",22
olanzapine,olanzapine,Bipolar Disorder,bipolar disorder,olanzapine (oral),Atypical antipsychotics,olanzapine bipolar disorder olanzapine (oral) atypical antipsychotics,olanzapine bipolar disorder olanzapine atypical antipsychotic,"weight gain, increased appetite, headache, dizziness, drowsiness, feeling tired, restless, problems with speech, memory, tremors, shaking, numbness, tingly feeling, changes in personality, dry mouth, increased salivation, stomach pain, constipation, pain in your arms, legs",20
Saphris,saphris,Bipolar Disorder,bipolar disorder,asenapine (sublingual),Atypical antipsychotics,saphris bipolar disorder asenapine (sublingual) atypical antipsychotics,saphris bipolar disorder asenapine atypical antipsychotic,"dizziness, drowsiness, tiredness, feeling restless, agitated, numbness, tingling in, around your mouth, muscle stiffness, jerky muscle movements, nausea, altered sense of taste, increased appetite, weight gain",14
citalopram,citalopram,Bipolar Disorder,bipolar disorder,citalopram,Selective serotonin reuptake inhibitors,citalopram bipolar disorder citalopram selective serotonin reuptake inhibitors,citalopram bipolar disorder citalopram selective serotonin reuptake inhibitor,"sexual problems, dizziness, drowsiness, dry mouth, thirst, increased sweating, urination, loss of appetite, nausea, diarrhea, constipation, feeling anxious, agitated, shaky, feeling weak, tired, sleep problems, yawning, increased muscle movement, nosebleeds, heavy menstrual bleeding, cold symptoms such as stuffy nose, sneezing, sore throat",24
carbamazepine,carbamazepine,Bipolar Disorder,bipolar disorder,carbamazepine (oral),Dibenzazepine anticonvulsants,carbamazepine bipolar disorder carbamazepine (oral) dibenzazepine anticonvulsants,carbamazepine bipolar disorder carbamazepine dibenzazepine anticonvulsant,"dizziness, loss of coordination, problems with walking, nausea, vomiting, drowsiness",6
ziprasidone,ziprasidone,Bipolar Disorder,bipolar disorder,ziprasidone (oral/injection),Atypical antipsychotics,ziprasidone bipolar disorder ziprasidone (oral/injection) atypical antipsychotics,ziprasidone bipolar disorder ziprasidone atypical antipsychotic,"dizziness, drowsiness, weakness, headache, nausea, vomiting, trouble swallowing, weight gain, feeling restless, being unable to sit still, tremors, involuntary muscle movements, vision problems, runny nose, new, worsening cough",16
Symbyax,symbyax,Bipolar Disorder,bipolar disorder,fluoxetine and olanzapine,Psychotherapeutic combinations,symbyax bipolar disorder fluoxetine and olanzapine psychotherapeutic combinations,symbyax bipolar disorder fluoxetine olanzapine psychotherapeutic combination,"drowsiness, blurred vision, dry mouth, increased appetite, weight gain, trouble concentrating, feeling tired, swelling in your hands, feet, tremor, abnormal liver function, cholesterol tests",12
valproic acid,valproic acid,Bipolar Disorder,bipolar disorder,valproic acid (oral/injection),Fatty acid derivative anticonvulsants,valproic acid bipolar disorder valproic acid (oral/injection) fatty acid derivative anticonvulsants,valproic acid bipolar disorder valproic acid fatty acid derivative anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, drowsiness, weight gain, fever, stomach pain, swelling, bleeding, bruising, hair loss, skin rash, tremor, anxiety, depression, confusion, blurred vision",20
fluoxetine / olanzapine,fluoxetine / olanzapine,Bipolar Disorder,bipolar disorder,fluoxetine and olanzapine,Psychotherapeutic combinations,fluoxetine / olanzapine bipolar disorder fluoxetine and olanzapine psychotherapeutic combinations,fluoxetine olanzapine bipolar disorder fluoxetine olanzapine psychotherapeutic combination,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, dry mouth, weight gain, fever, cough, swelling, bleeding, bruising, skin rash, tremor, anxiety, confusion, blurred vision",20
Lamictal ODT,lamictal odt,Bipolar Disorder,bipolar disorder,lamotrigine,Triazine anticonvulsants,lamictal odt bipolar disorder lamotrigine triazine anticonvulsants,lamictal odt bipolar disorder lamotrigine triazine anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, drowsiness, insomnia, dry mouth, fever, stomach pain, muscle pain, bleeding, bruising, skin rash, chest pain, back pain, tremor, anxiety, depression, confusion, blurred vision",22
levetiracetam,levetiracetam,Bipolar Disorder,bipolar disorder,levetiracetam (oral/injection),Pyrrolidine anticonvulsants,levetiracetam bipolar disorder levetiracetam (oral/injection) pyrrolidine anticonvulsants,levetiracetam bipolar disorder levetiracetam pyrrolidine anticonvulsant,"dizziness, drowsiness, tiredness, weakness, feeling aggressive, irritable, loss of appetite, stuffy nose, infection",9
Lithobid,lithobid,Bipolar Disorder,bipolar disorder,lithium,Antimanic agents,lithobid bipolar disorder lithium antimanic agents,lithobid bipolar disorder lithium antimanic agent,"dizziness, drowsiness, tremors in your hands, trouble walking, dry mouth, increased thirst, urination, nausea, vomiting, loss of appetite, rash, blurred vision",12
Zyprexa Zydis,zyprexa zydis,Bipolar Disorder,bipolar disorder,olanzapine (oral),Atypical antipsychotics,zyprexa zydis bipolar disorder olanzapine (oral) atypical antipsychotics,zyprexa zydis bipolar disorder olanzapine atypical antipsychotic,"headache, dizziness, rash, itching, drowsiness, constipation, dry mouth, weight gain, weight loss, fever, cough, stomach pain, swelling, bruising, skin rash, tremor, confusion, blurred vision",18
asenapine,asenapine,Bipolar Disorder,bipolar disorder,asenapine (sublingual),Atypical antipsychotics,asenapine bipolar disorder asenapine (sublingual) atypical antipsychotics,asenapine bipolar disorder asenapine atypical antipsychotic,"dizziness, drowsiness, tiredness, feeling restless, agitated, numbness, tingling in, around your mouth, muscle stiffness, jerky muscle movements, nausea, altered sense of taste, increased appetite, weight gain",14
Equetro,equetro,Bipolar Disorder,bipolar disorder,carbamazepine (oral),Dibenzazepine anticonvulsants,equetro bipolar disorder carbamazepine (oral) dibenzazepine anticonvulsants,equetro bipolar disorder carbamazepine dibenzazepine anticonvulsant,"dizziness, loss of coordination, problems with walking, nausea, vomiting, drowsiness",6
iloperidone,iloperidone,Bipolar Disorder,bipolar disorder,iloperidone,Atypical antipsychotics,iloperidone bipolar disorder iloperidone atypical antipsychotics,iloperidone bipolar disorder iloperidone atypical antipsychotic,"weight gain, dizziness, drowsiness, tired feeling, dry mouth, stuffy nose, fast heart rate",7
Lamictal CD,lamictal cd,Bipolar Disorder,bipolar disorder,lamotrigine (oral route),Triazine anticonvulsants,lamictal cd bipolar disorder lamotrigine (oral route) triazine anticonvulsants,lamictal cd bipolar disorder lamotrigine triazine anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, itching, drowsiness, constipation, weight gain, weight loss, fever, cough, stomach pain, joint pain, swelling, bleeding, bruising, skin rash, chest pain, anxiety, depression, confusion, blurred vision",24
paliperidone,paliperidone,Bipolar Disorder,bipolar disorder,paliperidone (oral),Atypical antipsychotics,paliperidone bipolar disorder paliperidone (oral) atypical antipsychotics,paliperidone bipolar disorder paliperidone atypical antipsychotic,"drowsiness, anxiety, muscle stiffness, tremors, shaking, uncontrolled muscle movements, trouble with walking, balance, speech, weight gain, upset stomach, constipation, fast heart rate, stuffy nose, sore throat",15
perphenazine,perphenazine,Bipolar Disorder,bipolar disorder,perphenazine,"Phenothiazine antiemetics, Phenothiazine antipsychotics","perphenazine bipolar disorder perphenazine phenothiazine antiemetics, phenothiazine antipsychotics",perphenazine bipolar disorder perphenazine phenothiazine antiemetic phenothiazine antipsychotic,"mild dizziness, drowsiness, blurred vision, headache, sleep problems, strange dreams, loss of appetite, vomiting, diarrhea, constipation, increased sweating, urination, dry mouth, stuffy nose, breast swelling, discharge, mild itching, skin rash",18
Risperdal Consta,risperdal consta,Bipolar Disorder,bipolar disorder,risperidone (injection),Atypical antipsychotics,risperdal consta bipolar disorder risperidone (injection) atypical antipsychotics,risperdal consta bipolar disorder risperidone atypical antipsychotic,"headache, dizziness, itching, drowsiness, constipation, dry mouth, weight gain, fever, cough, joint pain, swelling, bleeding, bruising, tremor, anxiety, confusion",16
tiagabine,tiagabine,Bipolar Disorder,bipolar disorder,tiagabine,Gamma-aminobutyric acid reuptake inhibitors,tiagabine bipolar disorder tiagabine gamma-aminobutyric acid reuptake inhibitors,tiagabine bipolar disorder tiagabine gamma-aminobutyric acid reuptake inhibitor,"tiredness, lack of energy, dizziness, drowsiness, nausea, stomach pain, feeling nervous, irritable, tremors, trouble concentrating",10
Abilify MyCite,abilify mycite,Bipolar Disorder,bipolar disorder,aripiprazole (oral with sensor),Atypical antipsychotics,abilify mycite bipolar disorder aripiprazole (oral with sensor) atypical antipsychotics,abilify mycite bipolar disorder aripiprazole atypical antipsychotic,"nausea, dizziness, itching, drowsiness, insomnia, constipation, dry mouth, fever, swelling, bleeding, bruising, tremor, confusion",13
Depakote Sprinkles,depakote sprinkles,Bipolar Disorder,bipolar disorder,divalproex sodium,Fatty acid derivative anticonvulsants,depakote sprinkles bipolar disorder divalproex sodium fatty acid derivative anticonvulsants,depakote sprinkle bipolar disorder divalproex sodium fatty acid derivative anticonvulsant,"nausea, vomiting, diarrhea, headache, dizziness, rash, drowsiness, constipation, fever, cough, stomach pain, swelling, bleeding, bruising, hair loss, skin rash, back pain, tremor, anxiety, depression, confusion, blurred vision",22
Zyprexa Intramuscular,zyprexa intramuscular,Bipolar Disorder,bipolar disorder,olanzapine (intramuscular route),Atypical antipsychotics,zyprexa intramuscular bipolar disorder olanzapine (intramuscular route) atypical antipsychotics,zyprexa intramuscular bipolar disorder olanzapine atypical antipsychotic,"vomiting, headache, dizziness, itching, weight gain, fever, cough, joint pain, swelling, bleeding, bruising, chest pain, back pain, blurred vision",14
olanzapine / samidorphan,olanzapine / samidorphan,Bipolar Disorder,bipolar disorder,olanzapine and samidorphan,Psychotherapeutic combinations,olanzapine / samidorphan bipolar disorder olanzapine and samidorphan psychotherapeutic combinations,olanzapine samidorphan bipolar disorder olanzapine samidorphan psychotherapeutic combination,"headache, dizziness, rash, drowsiness, constipation, dry mouth, weight gain, fever, cough, swelling, bruising, skin rash, back pain, tremor, confusion",15
Mucinex,mucinex,Bronchitis,bronchitis,guaifenesin,Expectorants,mucinex bronchitis guaifenesin expectorants,mucinex bronchitis guaifenesin expectorant,"dizziness, headache, rash, nausea, vomiting, stomach upset",6
azithromycin,azithromycin,Bronchitis,bronchitis,azithromycin,Macrolides,azithromycin bronchitis azithromycin macrolides,azithromycin bronchitis azithromycin macrolides,"diarrhea, nausea, vomiting, stomach pain, headache",5
Azithromycin Dose Pack,azithromycin dose pack,Bronchitis,bronchitis,azithromycin (oral/injection),Macrolides,azithromycin dose pack bronchitis azithromycin (oral/injection) macrolides,azithromycin dose pack bronchitis azithromycin macrolides,"nausea, vomiting, diarrhea, dizziness, rash, itching, fever, stomach pain, bruising, skin rash",10
amoxicillin,amoxicillin,Bronchitis,bronchitis,amoxicillin,Aminopenicillins,amoxicillin bronchitis amoxicillin aminopenicillins,amoxicillin bronchitis amoxicillin aminopenicillins,"nausea, vomiting, diarrhea, rash",4
guaifenesin,guaifenesin,Bronchitis,bronchitis,guaifenesin,Expectorants,guaifenesin bronchitis guaifenesin expectorants,guaifenesin bronchitis guaifenesin expectorant,"dizziness, headache, drowsiness, rash, nausea, vomiting, stomach upset",7
levofloxacin,levofloxacin,Bronchitis,bronchitis,levofloxacin (oral),Quinolones,levofloxacin bronchitis levofloxacin (oral) quinolones,levofloxacin bronchitis levofloxacin quinolones,"nausea, constipation, diarrhea, headache, dizziness, trouble sleeping",6
Augmentin,augmentin,Bronchitis,bronchitis,amoxicillin and clavulanate potassium,Beta-lactamase inhibitors,augmentin bronchitis amoxicillin and clavulanate potassium beta-lactamase inhibitors,augmentin bronchitis amoxicillin clavulanate potassium beta-lactamase inhibitor,"nausea, vomiting, diarrhea, rash, itching, vaginal itching, discharge, diaper rash",8
Levaquin,levaquin,Bronchitis,bronchitis,levofloxacin (oral),Quinolones,levaquin bronchitis levofloxacin (oral) quinolones,levaquin bronchitis levofloxacin quinolones,"nausea, constipation, diarrhea, headache, dizziness, trouble sleeping",6
